Community,County,per,% Valuation,Rate,Equalizer
Lakewood,Mchenry,$100.00,33.30%,7.21%,1
Lanark,Carroll,$100.00,33.30%,7.97%,1
Lansing,Cook,$100.00,10.00%,10.95%,2.9706
Lawrenceville,Lawrence,$100.00,33.30%,8.90%,1
Le Roy,Mclean,$100.00,33.30%,8.15%,1
Lebanon,St,$100.00,33.30%,7.77%,1
Lee,Dekalb,$100.00,33.30%,7.54%,1
Lemont,Cook,$100.00,10.00%,7.09%,2.9706
Lena,Stephenson,$100.00,33.30%,9.86%,1
Lewistown,Fulton,$100.00,33.30%,9.12%,1
Lexington,Mclean,$100.00,33.30%,8.97%,1
Libertyville,Lake,$100.00,33.30%,6.53%,1.0199
Lincoln,Logan,$100.00,33.30%,9.78%,1
Lincolnshire,Lake,$100.00,33.30%,6.27%,1.0199
Lincolnwood,Cook,$100.00,10.00%,6.41%,2.9706
Lindenhurst,Lake,$100.00,33.30%,7.98%,1.0199
Lisle,Dupage,$100.00,33.30%,6.71%,1.059
Litchfield,Montgomery,$100.00,33.30%,8.96%,1
Lockport,Will,$100.00,33.30%,8.10%,1
Lomax,Henderson,$100.00,33.30%,9.81%,1
Lombard,Dupage,$100.00,33.30%,6.69%,1.059
Long Grove,Lake,$100.00,33.30%,0.00%,1.0199
Lostant,Lasalle,$100.00,33.30%,8.52%,1
Loves Park,Winnebago,$100.00,33.30%,8.43%,1
Lyndon,Whiteside,$100.00,33.30%,9.24%,1
Lynwood,Cook,$100.00,10.00%,9.24%,2.9706
Macedonia,Hamilton,$100.00,33.30%,6.96%,1
Machesney Park,Winnebago,$100.00,33.30%,8.49%,1
Mackinaw,Tazewell,$100.00,33.30%,7.50%,1
Macomb,Mcdonough,$100.00,33.30%,9.55%,1
Macon,Macon,$100.00,33.30%,7.98%,1
Madison,Madison,$100.00,33.30%,0.00%,1
Madison,Madison,$100.00,33.30%,0.00%,1
Mahomet,Champaign,$100.00,33.30%,7.66%,1
Malta,Dekalb,$100.00,33.30%,8.51%,1
Manito,Mason,$100.00,33.30%,9.27%,1
Manlius,Bureau,$100.00,33.30%,9.19%,1
Mansfield,Piatt,$100.00,33.30%,0.00%,1
Manteno,Kankakee,$100.00,33.30%,8.37%,1
Marengo,Mchenry,$100.00,33.30%,6.91%,1
Marion,Williamson,$100.00,33.30%,6.03%,1
Markham,Cook,$100.00,10.00%,11.21%,2.9706
Maroa,Macon,$100.00,33.30%,8.92%,1
Marquette Heights,Tazewell,$100.00,33.30%,6.87%,1
Marseilles,Lasalle,$100.00,33.30%,10.77%,1
Marshall,Clark,$100.00,33.30%,7.53%,1
Martinsville,Clark,$100.00,33.30%,10.67%,1
Maryville,Madison,$100.00,33.30%,7.60%,1
Mascoutah,St,$100.00,33.30%,8.23%,1
Mason City,Mason,$100.00,33.30%,0.00%,1
Matherville,Mercer,$100.00,33.30%,9.06%,1
Matteson,Cook,$100.00,10.00%,11.09%,2.9706
Mattoon,Coles,$100.00,33.30%,8.75%,1
Mazon,Grundy,$100.00,33.30%,7.95%,1
Mchenry,Mchenry,$100.00,33.30%,8.17%,1
Mclean,Mclean,$100.00,33.30%,8.87%,1
Mcleansboro,Hamilton,$100.00,33.30%,9.46%,1
Media,Henderson,$100.00,33.30%,6.66%,1
Melrose Park,Cook,$100.00,10.00%,6.67%,2.9706
Mendon,Adams,$100.00,33.30%,8.06%,1
Mendota,Lasalle,$100.00,33.30%,8.99%,1
Metamora,Woodford,$100.00,33.30%,8.39%,1
Metropolis,Massac,$100.00,33.30%,7.28%,1
Midlothian,Cook,$100.00,10.00%,8.41%,2.9706
Milan,Rock Island,$100.00,33.30%,8.40%,1
Mill Shoals,White,$100.00,33.30%,10.05%,1
Milledgeville,Carroll,$100.00,33.30%,9.73%,1
Minier,Tazewell,$100.00,33.30%,7.79%,1
Minonk,Woodford,$100.00,33.30%,8.53%,1
Minooka,Grundy,$100.00,33.30%,7.59%,1
Modesto,Macoupin,$100.00,33.30%,8.04%,1
Mokena,Will,$100.00,33.30%,6.11%,1
Moline,Rock Island,$100.00,33.30%,8.79%,1
Montgomery,Kane,$100.00,33.30%,7.31%,1
Monticello,Piatt,$100.00,33.30%,6.20%,1
Morris,Grundy,$100.00,33.30%,6.99%,1
Morrison,Whiteside,$100.00,33.30%,9.22%,1
Morton,Tazewell,$100.00,33.30%,6.61%,1
Morton Grove,Cook,$100.00,10.00%,7.24%,2.9706
Mound City,Pulaski,$100.00,33.30%,9.18%,1
Mounds,Pulaski,$100.00,33.30%,8.75%,1
Mount Carmel,Wabash,$100.00,33.30%,7.81%,1
Mount Carroll,Carroll,$100.00,33.30%,10.09%,1
Mount Morris,Ogle,$100.00,33.30%,8.75%,1
Mount Olive,Macoupin,$100.00,33.30%,8.45%,1
Mount Prospect,Cook,$100.00,10.00%,6.60%,2.9706
Mount Pulaski,Logan,$100.00,33.30%,8.49%,1
Mount Sterling,Brown,$100.00,33.30%,9.22%,1
Mount Vernon,Jefferson,$100.00,33.30%,7.82%,1
Mount Zion,Macon,$100.00,33.30%,7.97%,1
Moweaqua,Shelby,$100.00,33.30%,6.91%,1
Muddy,Saline,$100.00,33.30%,6.67%,1
Mundelein,Lake,$100.00,33.30%,8.64%,1.0199
Murphysboro,Jackson,$100.00,33.30%,8.85%,1
Naperville,Dupage,$100.00,33.30%,5.88%,1.059
Nashville,Washington,$100.00,33.30%,8.58%,1
Nauvoo,Hancock,$100.00,33.30%,7.11%,1
Neoga,Cumberland,$100.00,33.30%,7.65%,1
New Baden,Clinton,$100.00,33.30%,7.00%,1
New Berlin,Sangamon,$100.00,33.30%,7.21%,1
New Boston,Mercer,$100.00,33.30%,0.00%,1
New Grand Chain,Pulaski,$100.00,33.30%,9.31%,1
New Haven,Gallatin,$100.00,33.30%,3.24%,1
New Lenox,Will,$100.00,33.30%,7.07%,1
Newark,Kendall,$100.00,33.30%,6.95%,1
Newton,Jasper,$100.00,33.30%,8.46%,1
Niantic,Macon,$100.00,33.30%,9.17%,1
Niles,Cook,$100.00,10.00%,5.79%,2.9706
